File Name,Final Assignment
sig001.jpg,Illegible
sig002.jpg,Legible
sig003.jpg,Legible
sig004.jpg,Legible
sig005.jpg,Legible
sig006.jpg,Legible
sig007.jpg,Legible
sig008.jpg,Illegible
sig009.jpg,Legible
sig010.jpg,Legible
sig011.jpg,Legible
sig012.jpg,Legible
sig013.jpg,Legible
sig014.jpg,Legible
sig015.jpg,Legible
sig016.jpg,Legible
sig017.jpg,Illegible
sig018.jpg,Illegible
sig019.jpg,Legible
sig020.jpg,Legible
sig021.jpg,Illegible
sig022.jpg,Illegible
sig023.jpg,Legible
sig024.jpg,Illegible
sig025.jpg,Legible
sig026.jpg,Illegible
sig027.jpg,Illegible
sig028.jpg,Legible
sig029.jpg,Illegible
sig030.jpg,Legible
sig031.jpg,Illegible
sig032.jpg,Illegible
sig033.jpg,Illegible
sig034.jpg,Legible
sig035.jpg,Illegible
sig036.jpg,Legible
sig037.jpg,Illegible
sig038.jpg,Illegible
sig039.jpg,Illegible
sig040.jpg,Illegible
sig041.jpg,Legible
sig042.jpg,Legible
sig043.jpg,Legible
sig044.jpg,Legible
sig045.jpg,Legible
sig046.jpg,Illegible
sig047.jpg,Legible
sig048.jpg,Legible
sig049.jpg,Illegible
sig050.jpg,Illegible
sig051.jpg,Illegible
sig052.jpg,Illegible
sig053.jpg,Illegible
sig054.jpg,Illegible
sig055.jpg,Illegible
sig056.jpg,Illegible
sig057.jpg,Illegible
sig058.jpg,Legible
sig059.jpg,Legible
sig060.jpg,Legible
sig061.jpg,Illegible
sig062.jpg,Illegible
sig063.jpg,Legible
sig064.jpg,Illegible
sig065.jpg,Illegible
sig066.jpg,Illegible
sig067.jpg,Illegible
sig068.jpg,Illegible
sig069.jpg,Illegible
sig070.jpg,Legible
sig071.jpg,Legible
sig072.jpg,Legible
sig073.jpg,Legible
sig074.jpg,Legible
sig075.jpg,Illegible
sig076.jpg,Legible
sig077.jpg,Legible
sig078.jpg,Legible
sig079.jpg,Legible
sig080.jpg,Illegible
sig081.jpg,Illegible
sig082.jpg,Legible
sig083.jpg,Legible
sig084.jpg,Legible
sig085.jpg,Legible
sig086.jpg,Legible
sig087.jpg,Legible
sig088.jpg,Illegible
sig089.jpg,Illegible
sig090.jpg,Illegible
sig091.jpg,Illegible
sig092.jpg,Legible
sig093.jpg,Legible
sig094.jpg,Legible
sig095.jpg,Legible
sig096.jpg,Legible
sig097.jpg,Legible
sig098.jpg,Legible
sig099.jpg,Legible
sig100.jpg,Legible
sig101.jpg,Illegible
sig102.jpg,Legible
sig103.jpg,Legible
sig104.jpg,Legible
sig105.jpg,Legible
sig106.jpg,Legible
sig107.jpg,Legible
sig108.jpg,Legible
sig109.jpg,Illegible
sig110.jpg,Legible
sig111.jpg,Illegible
sig112.jpg,Illegible
sig113.jpg,Illegible
sig114.jpg,Illegible
sig115.jpg,Illegible
sig116.jpg,Legible
sig117.jpg,Illegible
sig118.jpg,Illegible
sig119.jpg,Legible
sig120.jpg,Legible
sig121.jpg,Illegible
sig122.jpg,Illegible
sig123.jpg,Illegible
sig124.jpg,Illegible
sig125.jpg,Illegible
sig126.jpg,Illegible
sig127.jpg,Illegible
sig128.jpg,Illegible
sig129.jpg,Illegible
sig130.jpg,Illegible
sig131.jpg,Illegible
sig132.jpg,Illegible
sig133.jpg,Illegible
sig134.jpg,Illegible
sig135.jpg,Illegible
sig136.jpg,Illegible
sig137.jpg,Illegible
sig138.jpg,Illegible
sig139.jpg,Illegible
sig140.jpg,Illegible
sig141.jpg,Illegible
sig142.jpg,Illegible
sig143.jpg,Illegible
sig144.jpg,Legible
sig145.jpg,Illegible
sig146.jpg,Legible
sig147.jpg,Legible
sig148.jpg,Legible
sig149.jpg,Legible
sig150.jpg,Legible
sig151.jpg,Illegible
sig152.jpg,Illegible
sig153.jpg,Legible
sig154.jpg,Legible
sig155.jpg,Legible
